2025-11-19T02:53:14.872Z | IP: 191.91.80.179 | Status: 200 | Time: 1061ms | Data: {"num_faces":1,"faces":[{"bbox":[285,393,442,236],"label":"undefined","score":0.999993085861206}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.946,"faces":0.188,"jerseys":0.015,"time_ocr":0.896}}
2025-11-19T02:53:15.409Z | IP: 172.225.173.129 | Status: 200 | Time: 1315ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.907,"faces":0.155,"jerseys":0.021,"time_ocr":0.833}}
2025-11-19T02:53:15.983Z | IP: 191.95.51.210 | Status: 200 | Time: 1899ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":"59:37","image_processed":true,"total_detections":0,"processing_times":{"total":1.719,"faces":0.198,"jerseys":0.101,"time_ocr":1.613}}
2025-11-19T02:53:17.049Z | IP: 191.91.80.179 | Status: 200 | Time: 1238ms | Data: {"num_faces":2,"faces":[{"bbox":[297,406,464,239],"label":"undefined","score":0.9999868869781494},{"bbox":[0,428,79,349],"label":"undefined","score":0.9998955726623535}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":2,"processing_times":{"total":0.909,"faces":0.186,"jerseys":0.062,"time_ocr":0.831}}
2025-11-19T02:53:17.125Z | IP: 172.225.173.129 | Status: 200 | Time: 1143ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.869,"faces":0.148,"jerseys":0.053,"time_ocr":0.765}}
2025-11-19T02:53:17.892Z | IP: 191.95.51.210 | Status: 200 | Time: 1816ms | Data: {"num_faces":0,"faces":[],"jerseys":[{"team":"Colombia","bbox":[74,249,246,520],"confidence":0.4273357689380646},{"team":"Colombia","bbox":[75,252,243,504],"confidence":0.3718235492706299}],"colombia_count":2,"match_time":"59:39","image_processed":true,"total_detections":2,"processing_times":{"total":1.498,"faces":0.15,"jerseys":0.077,"time_ocr":1.423}}
2025-11-19T02:53:19.002Z | IP: 191.91.80.179 | Status: 200 | Time: 1085ms | Data: {"num_faces":1,"faces":[{"bbox":[299,412,460,251],"label":"undefined","score":0.9999997615814209}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.916,"faces":0.146,"jerseys":0.079,"time_ocr":0.867}}
2025-11-19T02:53:19.069Z | IP: 172.225.173.129 | Status: 200 | Time: 1078ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.836,"faces":0.158,"jerseys":0.017,"time_ocr":0.733}}
2025-11-19T02:53:19.996Z | IP: 191.95.51.210 | Status: 200 | Time: 1802ms | Data: {"num_faces":0,"faces":[],"jerseys":[{"team":"Colombia","bbox":[192,404,345,581],"confidence":0.9621666666666666},{"team":"Colombia","bbox":[406,57,480,146],"confidence":0.3066},{"team":"Colombia","bbox":[0,0,328,177],"confidence":1.0}],"colombia_count":3,"match_time":"59:41","image_processed":true,"total_detections":3,"processing_times":{"total":1.598,"faces":0.155,"jerseys":0.02,"time_ocr":1.525}}
2025-11-19T02:53:20.858Z | IP: 191.91.80.179 | Status: 200 | Time: 1049ms | Data: {"num_faces":1,"faces":[{"bbox":[296,411,457,250],"label":"undefined","score":0.9999995231628418}],"jerseys":[{"team":"Colombia","bbox":[158,0,490,480],"confidence":0.38372474908828735}],"colombia_count":1,"match_time":null,"image_processed":true,"total_detections":2,"processing_times":{"total":0.934,"faces":0.143,"jerseys":0.074,"time_ocr":0.872}}
